Covidence,Study ID,Title,Reviewer Name,included,exp1_is_preregistered,exp1_has_pwr_analysis,exp1_hypothesis_quote,exp1_results_quote,exp1_support,exp1_sample_size,exp1_pwr_an_effect_type,exp1_pwr_an_effect_est_raw,exp1_pwr_an_effect_est_d,exp1_effect_justification,exp1_power_estimate,exp2_is_preregistered,exp2_has_pwr_analysis,exp2_hypothesis_quote,exp2_results_quote,exp2_support,exp2_sample_size,exp2_pwr_an_effect_type,exp2_pwr_an_effect_est_raw,exp2_pwr_an_effect_est_d,exp2_effect_justification,exp2_pwr_estimate,exp3_is_preregistered,exp3_has_pwr_analysis,exp3_hypothesis_quote,exp3_results_quote,exp3_support,exp3_sample_size,exp3_pwr_an_effect_type,exp3_pwr_an_effect_est_raw,exp3_pwr_an_effect_est_d,exp3_effect_justification,exp3_pwr_estimate,exp4_is_preregistered,exp4_has_pwr_analysis,exp4_hypothesis_quote,exp4_results_quote,exp4_support,exp4_sample_size,exp4_pwr_an_effect_type,exp4_pwr_an_effect_est_raw,exp4_pwr_an_effect_est_d,exp4_effect_justification,exp4_pwr_estimate
2091,Aljohani 2020,Use of self-organizing maps to study sex- and speed-dependent changes in running biomechanics,Gianna Jeyarajan,Yes,No,No,"Wehypothesized that as running speed increases (i.e. task demands), movement variability would decrease and impact kinetic wouldincrease.","While males and femalesshowed similar distribution across clusters at LSD (p= .36) and at LSD + 30% (p= .51), femalesdid exhibit a significant (p= .03) shift between clusters as the speed increased from LSD toLSD + 30% whereas males did not (p= .17). ",No,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,Aljohani 2020,Use of self-organizing maps to study sex- and speed-dependent changes in running biomechanics,Chitrini Tandon,Yes,No,No,"Wehypothesized that as running speed increases (i.e. task demands), movement variability would decrease and impact kinetic wouldincrease.","The analysis identified four clusters (i.e., running patterns). While males and femalesshowed similar distribution across clusters at LSD (p= .36) and at LSD + 30% (p= .51), femalesdid exhibit a significant (p= .03) shift between clusters as the speed increased from LSD toLSD + 30% whereas males did not (p= .17). The shift was associated with an increase in TIS,ROL, step length, step rate, vastus lateralis EMG, hip flexion/knee extension movement patternproportion, and a decrease in ST EMG and CAVICfor hip sagittal/knee sagittal coupling",Yes,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,Aljohani 2020,Use of self-organizing maps to study sex- and speed-dependent changes in running biomechanics,Consensus,Yes,No,No,"Wehypothesized that as running speed increases (i.e. task demands), movement variability would decrease and impact kinetic wouldincrease.","Our hypothesis,that there would be a significant change in coordination patterns as speed increased was therefore supported for female runners butnot for male runners.",Yes,16, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2090,Krause 2020,Acute whole-body vibration reduces post-activation depression in the triceps surae muscle,Maryanne Vinh,Yes,No,No,"Based on evidence about thepersistent inhibition of spinal reflexes (Krause et al., 2016;Sayenko et al., 2010), we hypothesized that a reduced reflex activityfollowing WBV is accompanied by enhanced PAD, offering a possible underlying mechanism of presynaptic inhibition contributing tothe decline in spinal excitability during and persistently after acutely applied vibration.","Vibratory-induced spinal inhibition is accompanied by diminished PAD at thepresynaptic terminals which interconnect the Ia afferents with theα-motoneuron. Functionally,the PAD reduction might explain enhanced motor performance following vibration therapy, butfuture studies will be needed to verify this assumption.",Yes,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,Krause 2020,Acute whole-body vibration reduces post-activation depression in the triceps surae muscle,Gianna Jeyarajan,Yes,No,No,"Based on evidence about thepersistent inhibition of spinal reflexes (Krause et al., 2016;Sayenko et al., 2010), we hypothesized that a reduced reflex activityfollowing WBV is accompanied by enhanced PAD, offering a possible underlying mechanism of presynaptic inhibition contributing tothe decline in spinal excitability during and persistently after acutely applied vibration.","Hcond/H was significantly enhanced by +55% (2 min), +32% (4 min) and +35%(10 min) following WBV (P< 0.05). Baseline muscle activity and joint positions were shown tobe reliable (Cronbach'sαvalues > 0.990) throughout the testing procedure.",No,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,Krause 2020,Acute whole-body vibration reduces post-activation depression in the triceps surae muscle,Consensus,Yes,No,No,"Based on evidence about thepersistent inhibition of spinal reflexes (Krause et al., 2016;Sayenko et al., 2010), we hypothesized that a reduced reflex activityfollowing WBV is accompanied by enhanced PAD, offering a possible underlying mechanism of presynaptic inhibition contributing tothe decline in spinal excitability during and persistently after acutely applied vibration.","Hcond/H was significantly enhanced by +55% (2 min), +32% (4 min) and +35%(10 min) following WBV (P< 0.05). Baseline muscle activity and joint positions were shown tobe reliable (Cronbach'sαvalues > 0.990) throughout the testing procedure.",No,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,Majaj 2020,Ankle kinetics and plantarflexor morphology in older runners with different lifetime running exposures,Aaron Schwarz,Yes,No,No,"We hypothesized that older runners with higher lifetime running exposure would
run with longer steps, and greater propulsive GRF, peak ankle plantarflexor torques, peakankle positive power, and ankle positive
work compared to runners with lower lifetime running exposure.","Older runners with different lifetime running ex-
posures ran with similar ankle mechanical output (i.e. no effect of running exposure)(p > .05) and exhibited similar medial gastrocnemius morphology during isometric testing.",No,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,Majaj 2020,Ankle kinetics and plantarflexor morphology in older runners with different lifetime running exposures,Abbey Corson,Yes,No,No,"Wehypothesizedthatolderrunnerswithhigherlifetimerunningexposurewouldrunwithlongersteps,andgreaterpropulsiveGRF,peakankleplantarflexortorques,peakanklepositivepower,andanklepositivework compared to runners with lower lifetime running exposure.",s.Olderrunnerswithdifferentlifetimerunningex-posuresranwithsimilaranklemechanicaloutput(i.e.noeffectofrunningexposure)(p> .05)andexhibitedsimilarmedialgastrocnemiusmorphologyduringisometrictesting.Thefindingsfromthisstudydemonstratethatlifetimerunningexposuredoesnotappeartoinfluenceanklemechanicaloutputorplantarflexormorphologyinmiddle-agedrunners.,No,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,Majaj 2020,Ankle kinetics and plantarflexor morphology in older runners with different lifetime running exposures,Consensus,Yes,No,No,"We hypothesized that older runners with higher lifetime running exposure would
run with longer steps, and greater propulsive GRF, peak ankle plantarflexor torques, peakankle positive power, and ankle positive
work compared to runners with lower lifetime running exposure.","Older runners with different lifetime running ex-
posures ran with similar ankle mechanical output (i.e. no effect of running exposure)(p > .05) and exhibited similar medial gastrocnemius morphology during isometric testing.",No,9.5, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2088,Wang 2020,A one- and two-phased model of aimed movement with eye-hand incompatibility,Abigail Morgan,Yes,No,No,Thenumberoftrialsdivergingfromlearnedperformancewillbehigherin incompatibletaskscomparedtocompatibletasks.,"Learning is rather rapid with direct viewing and with 1D inversion. However,participantstakealongertimetostabilizetheirperformanceinthe2Dinversioncondition.Fitts'lawisrobustunderallvisualconditions.Theeye-handincompatibilityincreasesmovementtimewith 2D inversion taking the longest movement time.",Yes,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2088,Wang 2020,A one- and two-phased model of aimed movement with eye-hand incompatibility,Abbey Corson,Yes,No,No,Thehypothesesofthe studyare:1. Thenumberoftrialsdivergingfromlearnedperformancewillbehigherin incompatibletaskscomparedtocompatibletasks.," Learning is rather rapid with direct viewing and with 1D inversion. However,participantstakealongertimetostabilizetheirperformanceinthe2Dinversioncondition.",Yes,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2088,Wang 2020,A one- and two-phased model of aimed movement with eye-hand incompatibility,Consensus,Yes,No,No,Thenumberoftrialsdivergingfromlearnedperformancewillbehigherin incompatibletaskscomparedtocompatibletasks.," Learning is rather rapid with direct viewing and with 1D inversion. However,participantstakealongertimetostabilizetheirperformanceinthe2Dinversioncondition.",Yes,24, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2087,Simpson 2020,A test of optimal theory on young adolescents' standing long jump performance and motivation,Chitrini Tandon,Yes,No,Yes,"s.TheaimofthepresentstudythereforewastoevaluatetheacuteeffectsofFRonROM,passivetissuestiffnessandstretchsensationoftheanteriorthighmusclesaswellastheslidingpropertiesoftheassociatedfasciae.","flexibility increased only after, FR (active (+1.8 ± 1.9%) and passive ROM(+3.4 ± 2.7%),p=.006,respectively)andSS(passiveROM(+3.2 ± 3.5%),p=.002).Angleof FSS was altered following FR (+4.3° (95% CI: 1.4°–7.2°)) and SS (+6.7° (3.7°–9.6°)), whiletissue stiffness remained unchangedafter any intervention comparedto baseline. Movement ofthe deepest layer (−5.7mm (−11.3mm to −0.1mm)) as well as intrafascial sliding betweendeepandsuperficiallayer(−4.9mm(−9.mmto−0.7mm))decreasedonlyafterFR.",Yes,16,f2,0.25,,previous_study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2087,Simpson 2020,A test of optimal theory on young adolescents' standing long jump performance and motivation,Brad McKay,Yes,No,Yes,"First, we hypothesised that the EF, EE-EF and AS-EF conditions would enhance jump performance as compared to baseline (e.g., Marchant, Carnegie, et al., 2018). Second, we hypothesised that each condition would increase participants' self-efficacy, perceived competence, task effort, task importance and positive affect (Ghorbani, 2019; Gon�alves et al., 2018; Lemos et al., 2017). Finally, we aimed to explore differences between EF, EEEF and AS-EF conditions on jump performance and the motivational characteristics of self-efficacy; perceived competence, task effort, task importance and positive affect. Based on previous research (Pascua et al., 2015; Wulf et al., 2015), we hypothesised that standing long jump performance and the motivational characteristics would be enhanced in the EE-EF and AS-EF conditions as compared to the EF condition.","Specifically, these findings extend the work from adult populations (Marchant, Carnegie, et al., 2018), by identifying that young adolescents' motor performance and motivation can be enhanced by promoting an EF and integrating an EF into conditions which support autonomy",Yes,48,np2,0.25,,previous_study,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2087,Simpson 2020,A test of optimal theory on young adolescents' standing long jump performance and motivation,Consensus,Yes,No,Yes,"First, we hypothesised that the EF, EE-EF and AS-EF conditions would enhance jump performance as compared to baseline (e.g., Marchant, Carnegie, et al., 2018). Second, we hypothesised that each condition would increase participants' self-efficacy, perceived competence, task effort, task importance and positive affect (Ghorbani, 2019; Gon�alves et al., 2018; Lemos et al., 2017). Finally, we aimed to explore differences between EF, EEEF and AS-EF conditions on jump performance and the motivational characteristics of self-efficacy; perceived competence, task effort, task importance and positive affect. Based on previous research (Pascua et al., 2015; Wulf et al., 2015), we hypothesised that standing long jump performance and the motivational characteristics would be enhanced in the EE-EF and AS-EF conditions as compared to the EF condition.","Specifically, these findings extend the work from adult populations (Marchant, Carnegie, et al., 2018), by identifying that young adolescents' motor performance and motivation can be enhanced by promoting an EF and integrating an EF into conditions which support autonomy",Yes,48,np2,0.25,,previous_study,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,Becker 2020,Attentional focus influences sample entropy in a balancing task,Gianna Jeyarajan,Yes,No,No,"Based on thefindings ofRhea et al. (2019)and predictions of the constrained action hypothesis, we expected that utilizing an external focus would lead to ahigher value of sample entropy and lowerSDcompared to an internal focus. ", Results indicated an external focus led to higher sample entropythan a holistic focus (p= .001) and internal focus (p= .031). ,Yes,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,Becker 2020,Attentional focus influences sample entropy in a balancing task,Julie Hubley,Yes,No,No,"The purpose of this study was to clarify how an internal, external, and holistic focus of attention impact sample entropy when
balancing on a stability platform. We anticipated that an external focus and a holistic focus would each promote higher SaEn and
lower SD than an internal focus.","In conclusion, this study provides initial evidence that using an external focus of attention results in a more adaptive postural
control strategy as evidenced by increased SaEn relative to an internal and holistic focus. ",Yes,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,Becker 2020,Attentional focus influences sample entropy in a balancing task,Consensus,Yes,No,No,"The purpose of this study was to clarify how an internal, external, and holistic focus of attention impact sample entropy when
balancing on a stability platform. We anticipated that an external focus and a holistic focus would each promote higher SaEn and
lower SD than an internal focus.","In conclusion, this study provides initial evidence that using an external focus of attention results in a more adaptive postural
control strategy as evidenced by increased SaEn relative to an internal and holistic focus. ",Yes,36, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2085,Mesquita 2020,Comparison of upper limb kinematics in two activities of daily living with different handling requirements,Chitrini Tandon,Yes,No,No,"Therefore,themainobjectiveofthisstudywastocomparethekinematicstrategiesusedbyhealthyadultsinanADLwithlessdemandinghandling(turningonthelight)withthosethatareusedindrinking,throughthe3Danalysisofend-pointkinematicsandjointkinematics","Meanandpeakvelocities,indexofcurvature,shoulderflexionandelbowextensionwerelowerinLIGHT,whichsuggeststhattherealhandtrajectorywassmallerinthistask.InLIGHT,reachingwaslesssmoothandreturningwassmootherthanDRINK.Theinstantofpeakvelocitywassimilarinbothtasks. Therewasa minimal anteriortrunkdisplacement inLIGHT,and agreateranteriortrunkdisplacementinDRINK.Ageandsexwerethemainfactorswhichexertedeffectonsomeofthekinematics,especiallyinLIGHT",Yes,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2085,Mesquita 2020,Comparison of upper limb kinematics in two activities of daily living with different handling requirements,Hugh Brooks,Yes,No,No,"Astheknowledgeofmovementperformedbyhealthyadultsbecomesessentialtoassessthequalityofmovementofpoststrokepatients,themaingoalofthisarticlewastocomparethekinematicstrategiesusedbyhealthyadultsinLIGHTwiththosethatareusedinDRINK.","ThedifferenttargetformatsandhandcontactinDRINKandLIGHTseemtobere-sponsiblefordifferencesinvelocityprofile,efficiency,smoothness,jointanglesandtrunkdis-placemen",Yes,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2085,Mesquita 2020,Comparison of upper limb kinematics in two activities of daily living with different handling requirements,Consensus,Yes,No,No,"Therefore,themainobjectiveofthisstudywastocomparethekinematicstrategiesusedbyhealthyadultsinanADLwithlessdemandinghandling(turningonthelight)withthosethatareusedindrinking,throughthe3Danalysisofend-pointkinematicsandjointkinematics","Meanandpeakvelocities,indexofcurvature,shoulderflexionandelbowextensionwerelowerinLIGHT,whichsuggeststhattherealhandtrajectorywassmallerinthistask.InLIGHT,reachingwaslesssmoothandreturningwassmootherthanDRINK.Theinstantofpeakvelocitywassimilarinbothtasks. Therewasa minimal anteriortrunkdisplacement inLIGHT,and agreateranteriortrunkdisplacementinDRINK.Ageandsexwerethemainfactorswhichexertedeffectonsomeofthekinematics,especiallyinLIGHT",Yes,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,Niechwiej-Szwedo 2020,"Contribution of stereopsis, vergence, and accommodative function to the performance of a precision grasping and placement task in typically developing children age 8–14 years",Chitrini Tandon,Yes,No,No,"More specifically, and in accordance with the results from previous studies with adults(Melmoth et al., 2007) and children (Niechwiej-Szwedo et al., 2020;Rafique & Northway, 2015), it was hypothesized that a lowerstereoacuity threshold is associated with more efficient reaching and grasping, whereas fusional vergence is associated with thecontrol of reaching (peak reach velocity), and accommodation is associated with overall task performance","Results showedthat different aspects of binocular vision contribute to the control of distinct phases of upper limbmovements. Specifically, fusional vergence was associated with higher peak reach velocity,stereoacuity was associated with shorter grasp execution, and accommodation was associatedwith shorter placement duration. ",Yes,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,Niechwiej-Szwedo 2020,"Contribution of stereopsis, vergence, and accommodative function to the performance of a precision grasping and placement task in typically developing children age 8–14 years",Julie Hubley,Yes,No,No,"The present study was designed to extend these findings by including a more comprehensive binocular vision assessment, involving stereoacuity, fusional vergence, and accommodation. It was expected that better binocular vision will be associated with improved performance of a precision grasping and placement task. More specifically, and in accordance with the results from previous studies with adults (Melmoth et al., 2007) and children (Niechwiej-Szwedo et al., 2020; Rafique & Northway, 2015), it was hypothesized that a lower
stereoacuity threshold is associated with more efficient reaching and grasping, whereas fusional vergence is associated with the control of reaching (peak reach velocity), and accommodation is associated with overall task performance.
","Results showed that different aspects of binocular vision contribute to the control of distinct phases of upper limb movements. Specifically, fusional vergence was associated with higher peak reach velocity, stereoacuity was associated with shorter grasp execution, and accommodation was associated with shorter placement duration",Yes,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,Niechwiej-Szwedo 2020,"Contribution of stereopsis, vergence, and accommodative function to the performance of a precision grasping and placement task in typically developing children age 8–14 years",Consensus,Yes,No,No,"The present study was designed to extend these findings by including a more comprehensive binocular vision assessment, involving stereoacuity, fusional vergence, and accommodation. It was expected that better binocular vision will be associated with improved performance of a precision grasping and placement task. More specifically, and in accordance with the results from previous studies with adults (Melmoth et al., 2007) and children (Niechwiej-Szwedo et al., 2020; Rafique & Northway, 2015), it was hypothesized that a lower
stereoacuity threshold is associated with more efficient reaching and grasping, whereas fusional vergence is associated with the control of reaching (peak reach velocity), and accommodation is associated with overall task performance.
","Results showedthat different aspects of binocular vision contribute to the control of distinct phases of upper limbmovements. Specifically, fusional vergence was associated with higher peak reach velocity,stereoacuity was associated with shorter grasp execution, and accommodation was associatedwith shorter placement duration. ",Yes,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083,Parra 2020,Differences in the firing rate versus recruitment threshold relationships of the vastus lateralis in children ages 7–10 years and adults,Maryanne Vinh,Yes,No,No," it is hypothesized that adults will have greaterfiring rates than children ages 7–10 regardless of recruitmentthreshold, which is contrast toChalchat et al. (2019)and thefindings for the FDI inMiller et al. (2019). ",Adults had greaterfiring rates regardless of recruitment thresholdthan children. ,Yes,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083,Parra 2020,Differences in the firing rate versus recruitment threshold relationships of the vastus lateralis in children ages 7–10 years and adults,Abbey Corson,Yes,No,No,"it is hypothesized that adults will have greaterfiring rates than children ages 7–10 regardless of recruitmentthreshold, which is contrast toChalchat et al. (2019)and thefindings for the FDI inMiller et al. (2019). ",Adults had greaterfiring rates regardless of recruitment thresholdthan children.,Yes,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083,Parra 2020,Differences in the firing rate versus recruitment threshold relationships of the vastus lateralis in children ages 7–10 years and adults,Consensus,Yes,No,No,"it is hypothesized that adults will have greaterfiring rates than children ages 7–10 regardless of recruitmentthreshold, which is contrast toChalchat et al. (2019)and thefindings for the FDI inMiller et al. (2019). ",Adults had greaterfiring rates regardless of recruitment thresholdthan children.,Yes,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2082,Hewitson 2020,Enhanced visuomotor learning and generalization in expert surgeons,Abbey Corson,Yes,No,No,"We predicted that expert minimally invasive surgeons would compensate for a visuomotor perturbation more rapidly and more completely, and would therefore experience smaller errors than naive controls in a standard visuomotor adaptation task.",We found that expert surgeons compensate for a visuomotor perturbation more rapidly than naive controls.,Yes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2082,Hewitson 2020,Enhanced visuomotor learning and generalization in expert surgeons,Julie Hubley,Yes,No,No,"We predicted that expert minimally invasive surgeons would compensate for a visuomotor perturbation more rapidly and more
completely, and would therefore experience smaller errors than naive controls in a standard visuomotor adaptation task. We also
predicted that expert surgeons would exhibit a different pattern of generalization of their learning than controls. ","We found that expert surgeons compensate for a visuomotor perturbation more rapidly than naive controls. Modelling indicates that these differences in expert behavioural performance reflects greater trial-to-trial retention, as opposed to greater trial-to-trial learning rate. We also found that surgeons generalize to novel reach directions more broadly than controls, a result which was subsequently confirmed by our modelling. ",Yes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2082,Hewitson 2020,Enhanced visuomotor learning and generalization in expert surgeons,Consensus,Yes,No,No,"We predicted that expert minimally invasive surgeons would compensate for a visuomotor perturbation more rapidly and more completely, and would therefore experience smaller errors than naive controls in a standard visuomotor adaptation task. ","We found that expert surgeons compensate for a visuomotor perturbation more rapidly than naive controls. Modelling indicates that these differences in expert behavioural performance reflects greater trial-to-trial retention, as opposed to greater trial-to-trial learning rate. We also found that sur-geons generalize to novel reach directions more broadly than controls, a result which was sub-sequently confirmed by our modelling",Yes,10, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2081,Warlop 2020,Gaze behaviour during walking in young adults with developmental coordination disorder,Julie Hubley,Yes,No,No,"This study explored differences and similarities in gaze behaviour during walking between
typically developing young adults and those with DCD.","Individuals with DCD walked slower and demonstrated a different gaze strategy compared to their neurotypical peers as they fixated almost each and every target sequentially. Typically developing individuals, on the other hand, directed gaze further along the path and often fixated areas around the targets",Yes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,Warlop 2020,Gaze behaviour during walking in young adults with developmental coordination disorder,Abigail Morgan,Yes,No,No,This study explored differences and similarities in gaze behaviour during walking betweentypically developing young adults and those with DCD.,"Individuals with DCD walked slower and demonstrated a different gazestrategy compared to their neurotypical peers as theyfixated almost each and every target se-quentially. Typically developing individuals, on the other hand, directed gaze further along thepath and oftenfixated areas around the targets.",Yes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,Warlop 2020,Gaze behaviour during walking in young adults with developmental coordination disorder,Consensus,Yes,No,No,This study explored differences and similarities in gaze behaviour during walking betweentypically developing young adults and those with DCD.,"Individuals with DCD walked slower and demonstrated a different gazestrategy compared to their neurotypical peers as theyfixated almost each and every target se-quentially. Typically developing individuals, on the other hand, directed gaze further along thepath and oftenfixated areas around the targets.",Yes,10, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2080,Langridge 2020,Grasping a 2D virtual target: The influence of target position and movement on gaze and digit placement,Gianna Jeyarajan,Yes,No,No,"When grasping non-central targets, participants were expected tofixate and placetheir digits at locations shifted toward the target's nearest side at the time of the grasp, as this would require less energy expenditurethan grasping the middle or far sides of the target. ","Average gaze and digit placementwere consistently positioned behind the moving target's horizontal midline when grasping. Gazewas directed farther behind the midline of Experimental targets, suggesting the absence of aflatcentral grasp location pulled participants' gaze toward the trailing edge. ",No,23,,,,,,No,No,"Basedon previous research using 2D target movement, it was expected thatfinal gaze and digit placement would favour the trailing edge ofrightward moving targets, and the leading edge of leftward moving targets. ",". Participants placed theirdigits at positions closer to the horizontal midline of leftward moving targets, suggesting parti-cipants were compensating for the added mechanical constraints associated with grasping targetsmoving in a direction contralateral to the grasping hand. T",No,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,Langridge 2020,Grasping a 2D virtual target: The influence of target position and movement on gaze and digit placement,Aaron Schwarz,Yes,No,No,"When grasping non-central targets, participants were expected to
fixate and place their digits at locations shifted toward the target's nearest side at the time of the grasp, as this would require less energy expenditure than grasping the middle or far sides of the target. ","The results of Experiment 1 confirmed the hypothesis that digit placement would be shifted in the direction the reaching hand
when grasping non-centrally located targets.",Yes,23,,,,,,No,No,"Based on previous research using 2D target movement, it was expected that final gaze and digit placement would favour the trailing edge of rightward moving targets, and the leading edge of leftward moving targets. This bias was expected to be most evident at late stages of
a leftward moving target's travel, and it was hypothesized that participants would
‘catch’ the leading side of the target (i.e., place
their digits farther ahead of the target's midline) when the risk of missing the target was most prevalent. ","In Experiment 2 when the target was moving however, the average index finger placement and gaze positions were consistently
positioned behind the target's horizontal midline.",No,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,Langridge 2020,Grasping a 2D virtual target: The influence of target position and movement on gaze and digit placement,Consensus,Yes,No,No,"When grasping non-central targets, participants were expected to
fixate and place their digits at locations shifted toward the target's nearest side at the time of the grasp, as this would require less energy expenditure than grasping the middle or far sides of the target. ","The results of Experiment 1 confirmed the hypothesis that digit placement would be shifted in the direction the reaching hand
when grasping non-centrally located targets.",Yes,23,,,,,,No,No,"Basedon previous research using 2D target movement, it was expected thatfinal gaze and digit placement would favour the trailing edge ofrightward moving targets, and the leading edge of leftward moving targets. ","In Experiment 2 when the target was moving however, the average index finger placement and gaze positions were consistently
positioned behind the target's horizontal midline.",No,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079,Pierret 2020,How do children aged 6 to 11 stabilize themselves on an unstable sitting device? The progressive development of axial segment control,Hugh Brooks,Yes,No,No,We hypothesized that postural sway would decrease with age and that thisdevelopmental effect would be accentuated by the task difficulty (i.e. the degree of balance challenge) and the visual condition (eyesopen vs. eyes closed).,"Upper-body postural sway (area, mean velocityand root mean square (RMS) of the center of pressure (CoP) displacement) decreased progres-sively with age (6-7yo > 8-9yo > 10-11yo > adults), and this effect was accentuated whenthe balance challenge was high (for CoP area) or in the“eyes closed”condition (for CoP area andRMS).",Yes,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079,Pierret 2020,How do children aged 6 to 11 stabilize themselves on an unstable sitting device? The progressive development of axial segment control,Maryanne Vinh,Yes,No,No,We hypothesized that postural sway would decrease with age and that thisdevelopmental effect would be accentuated by the task difficulty (i.e. the degree of balance challenge) and the visual condition (eyesopen vs. eyes closed).,"A progressive shift was showed, from an“en bloc”pattern at 6–7 yearsof age toward a more articulated (i.e. adult-like) pattern at 10–11. ",Yes,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079,Pierret 2020,How do children aged 6 to 11 stabilize themselves on an unstable sitting device? The progressive development of axial segment control,Consensus,Yes,No,No,We hypothesized that postural sway would decrease with age and that thisdevelopmental effect would be accentuated by the task difficulty (i.e. the degree of balance challenge) and the visual condition (eyesopen vs. eyes closed).,"A progressive shift was showed, from an“en bloc”pattern at 6–7 yearsof age toward a more articulated (i.e. adult-like) pattern at 10–11. ",Yes,11.75, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2078,Roelofsen 2020,Leg-amplitude differentiation guided by haptic and visual feedback to detect alterations in motor flexibility due to Total Knee Replacement,Abigail Morgan,Yes,No,No,Hypothesized was that adaptation to KOA symptoms wouldlead to a reduction of motorflexibility and thus result in lower between-leg coordination variability and lower temporal variabilitycompared to healthy controls. ,"In theTKR-group, the VAS-pain and VAS- stiffness and the subscales of the KOOS significantly de-creased after TKR. In treadmill walking, lower-limb motorflexibility did not significantly changeafter TKR. Between-leg coordination variability was significantly lower post-TKR compared tocontrols. In the LAD-task, a significant decrease of between-leg coordination variability betweenpre-TKR and post-TKR was accompanied by a significant increase in temporal variability. Post-TKR-values of lower-limbflexibility approached the values of the control group.",No,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078,Roelofsen 2020,Leg-amplitude differentiation guided by haptic and visual feedback to detect alterations in motor flexibility due to Total Knee Replacement,Chitrini Tandon,Yes,No,No,"Therefore, the goal of the current study was to investigate differences in clinical status of patients receiving TKR (pre-TKR - post-TKR) as measured with (1) clinical scales, to compare possible alterations in lower-limb motorflexibility in ","In theTKR-group, the VAS-pain and VAS- stiffness and the subscales of the KOOS significantly de-creased after TKR. In treadmill walking, lower-limb motorflexibility did not significantly changeafter TKR. Between-leg coordination variability was significantly lower post-TKR compared tocontrols. In the LAD-task, a significant decrease of between-leg coordination variability betweenpre-TKR and post-TKR was accompanied by a significant increase in temporal variability. Post-TKR-values of lower-limbflexibility approached the values of the control group. The resultsdemonstrate that a clinically relevant change in clinical status, twenty weeks after TKR, is notaccompanied by alterations in lower-limb motorflexibility during treadmill walking but is ac-companied by changes in motorflexibility towards the level of healthy controls during a LAD-task with visual and haptic feedback. ",Yes,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
